,Iterations,Samples,Gauss_error,MC_error,FP_error,Gauss_time,MC_time,FP_time
0,20,1000,0.2566429149530917,0.01598501567967685,0.5375175715407294,12.141680717468262,1569.6291105747223,10.51212763786316
1,40,500,0.22821408637948076,0.022727943577698643,0.2120046034700842,11.39073634147644,770.798043012619,10.414085626602173
2,50,400,0.18022407710940017,0.022369501990188456,0.1399211026584925,10.745560646057129,643.7176623344421,7.936305284500122
3,80,250,0.283894227466084,0.016029910088221095,0.11764973247179575,13.928212642669678,409.4962842464447,10.08601713180542
4,100,200,0.1609938560300241,0.022037118172926737,0.07668712156681168,12.793533086776733,328.2924361228943,12.66698956489563
5,200,100,0.13225289566058884,0.016059913665805992,0.07505967965404699,12.373616218566895,170.57380056381226,8.42047667503357
6,400,50,0.09882318712390224,0.0321175914259462,0.06319073192094127,14.88565731048584,101.01474070549011,12.261356830596924
