,Iterations,Samples,Gauss_error,MC_error,FP_error,Gauss_time,MC_time,FP_time
0,20,1000,0.14562390679659307,0.01957096799205048,0.43019391173566424,10.794809579849243,1583.3365097045898,9.8229820728302
1,40,500,0.17778404130348033,0.023066136450953408,0.18906845800434507,10.624077320098877,781.5453941822052,7.936996936798096
2,50,400,0.16298171769544886,0.024630223572452727,0.17243264270120146,10.449496507644653,630.7962191104889,7.785310506820679
3,80,250,0.21013274899189,0.012383327338050795,0.15215341991625952,14.663310527801514,437.0609745979309,10.047808408737183
4,100,200,0.15016940151096578,0.023560912780264644,0.13531916708263617,17.556788444519043,356.82238268852234,10.109102487564087
5,200,100,0.09561352359491179,0.03351477873889735,0.06455851553634084,20.312838077545166,186.29952955245972,10.704310417175293
6,400,50,0.14477151489387594,0.02672912335138023,0.068283447679135,22.89825201034546,106.31311702728271,11.808489561080933
