,Iterations,Samples,Gauss_error,MC_error,FP_error,Gauss_time,MC_time,FP_time
0,20,1000,0.13601568944019649,0.01580559888692064,0.4014260201632145,14.528770208358765,1520.6821761131287,12.659770250320435
1,40,500,0.19694353443486406,0.02089414904828151,0.23124897553224258,10.308850765228271,756.5264482498169,7.796560287475586
2,50,400,0.18002109914387865,0.012051835461250996,0.17694390194883194,10.953852891921997,635.005303144455,9.738144636154175
3,80,250,0.12191455299395845,0.016608401554124082,0.11998143961024162,11.666713953018188,394.32055282592773,9.838961124420166
4,100,200,0.1411121035812665,0.019179445112016736,0.08234636993508808,11.380426406860352,318.95633721351624,9.524755239486694
5,200,100,0.1692600005011414,0.022967993517055176,0.07794266667928927,12.332206964492798,168.9285545349121,8.195253849029541
6,400,50,0.1608478369912443,0.0239631559846773,0.04084145768301698,13.89127802848816,96.60150790214539,11.615774631500244
