,Iterations,Samples,Gauss_error,MC_error,FP_error,Gauss_time,MC_time,FP_time
0,20,1000,0.3675337164084025,0.020833864142972388,0.4554065301819595,10.899657964706421,1551.9441058635712,9.464183330535889
1,40,500,0.20072879632254015,0.023565849664697876,0.19361604422860082,11.311091661453247,767.6861276626587,9.80712103843689
2,50,400,0.20075194745557248,0.025614952228022504,0.1756811892877389,15.664791584014893,665.8573188781738,9.873228549957275
3,80,250,0.19104686387870723,0.028601465764830494,0.12984715030952768,14.89567255973816,428.2012207508087,12.78504729270935
4,100,200,0.20952193685831394,0.017003543131073003,0.0746794828320609,15.354336500167847,349.764315366745,13.040904521942139
5,200,100,0.16129448519630477,0.013808837945446061,0.060997368771671036,15.956438779830933,180.2457995414734,14.782716512680054
6,400,50,0.11378833790643597,0.02760498831148648,0.04174873852329662,21.60872769355774,113.33796453475952,15.444743871688843
